prime,length,reciprocal
6763,161,0.0001478633742422002
6779,6778,0.0001475143826523086
6781,1356,0.0001474708745022858
6791,679,0.00014725371815638345
6793,6792,0.00014721036360959813
6803,3401,0.00014699397324709687
6823,6822,0.0001465630954125751
6827,3413,0.00014647722279185587
6829,6828,0.0001464343242055938
6833,6832,0.00014634860237084735
6841,855,0.000146177459435755
6857,6856,0.00014583637159107482
6863,6862,0.00014570887367040654
6869,6868,0.00014558159848595138
6871,3435,0.00014553922282055013
6883,3441,0.0001452854859799506
6899,6898,0.00014494854326714017
6907,1151,0.00014478065730418415
6911,3455,0.0001446968600781363
6917,3458,0.00014457134595923088
6947,3473,0.00014394702749388226
6949,6948,0.0001439055979277594
6959,3479,0.00014369880729989942
6961,3480,0.00014365752047119666
6967,6966,0.00014353380221042057
6971,6970,0.00014345144168698896
6977,6976,0.00014332807797047442
6983,6982,0.00014320492624946297
6991,3495,0.00014304105278214847
6997,1749,0.00014291839359725596
7001,1750,0.00014283673760891302
7013,3506,0.00014259232853272493
7019,7018,0.00014247043738424277
7027,1171,0.00014230823964707557
7039,391,0.00014206563432305724
7043,503,0.0001419849495953429
7057,7056,0.00014170327334561429
7069,7068,0.00014146272457207527
7079,3539,0.00014126289023873428
7103,7102,0.00014078558355624384
7109,7108,0.00014066676044450696
7121,3560,0.0001404297149276787
7127,1018,0.00014031149151115475
7129,594,0.00014027212792818068
7151,275,0.00013984058173682003
7159,3579,0.0001396843134515994
7177,7176,0.00013933398355858994
